id,name,slug,createdAt,updatedAt
98fd79ff-8f49-4345-94de-62fdc273ec97,Trang Diem Moi,trang-diem-moi-32ed,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
97d7f128-e675-475f-83e1-a192cc10b04d,Mat Na,mat-na-4aa1,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
6a6acf29-eae7-4fb3-a131-df2e996f7d35,Trang Diem Mat,trang-diem-mat-85b0,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
21854bed-f589-4540-952c-763e6342e2b0,Sua Rua Mat,sua-rua-mat-d2fa,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
39a3674c-683b-4109-8958-dfa3b74a2bd2,Trang Diem Vung Mat,trang-diem-vung-mat-2d24,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
ba7df57b-4d72-4e60-86fa-821d7f4e92b1,Dau Goi Va Dau Xa,dau-goi-va-dau-xa-7b46,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
ad8d776e-9702-4e3e-9a1e-e93dd4c44836,Chong Nang Da Mat,chong-nang-da-mat-8d61,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
43b15991-0e35-4aa5-ae18-43255e60fa59,Tay Trang Mat,tay-trang-mat-934b,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
c0f506ce-b7c3-4cb8-82ae-2ecdc559aaff,Sua Tam Xa Bong Tam,sua-tam-xa-bong-tam-7948,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
c32a7030-666b-4800-9c21-af1a28833ecc,Duong The,duong-the-798a,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
8f210463-3951-4527-a74b-ef09d3f3bf66,Nuoc Hoa,nuoc-hoa-8887,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
70f106da-3d67-4638-8f6a-53a9924e2243,Cham Soc Rang Mieng,cham-soc-rang-mieng-5ec7,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
de38c041-1b07-4e4e-8f47-a6d2a95e0581,Dau Xit Duong Toc,dau-xit-duong-toc-0af0,2026-04-06T04:03:23.372398,2026-04-06T04:03:23.372398
