id,productId,color,size,imageId,sku,price,salePrice,costPrice,statusName,status,createdAt,updatedAt
4e7fb895-9bf9-4ba3-b3da-edb5ce8d9c70,3127f1fb-7bf8-42a6-80e8-5a6c2a285e0f,Sepia - Đỏ Táo Trầm,4.6g,a6def130-0312-4947-a2a5-e2e8d802e854,SKU-5D466C77,378000,249000,149400,NEW,ACTIVE,2026-04-05T14:45:54.710005,2026-04-05T14:45:54.710005
17796652-9a98-447a-95b4-f39a36a6afdc,f187a0f4-7a6e-40db-9f67-9e9ebb54cbed,,1.5g,04d118fb-458d-4542-825a-11abb6041cf5,SKU-1732089A,199000,140000,84000,NEW,ACTIVE,2026-04-05T14:45:54.710005,2026-04-05T14:45:54.710005
b236ff18-a1b8-46d8-bae6-24af8f1d032a,4b7b5342-d3d9-41ea-8e3a-b929e080e877,,3.8g,11aefb91-e916-44eb-81e4-061c6473f293,SKU-8F6ADF8C,359000,189000,113400,NEW,ACTIVE,2026-04-05T14:45:54.710005,2026-04-05T14:45:54.710005
5d97714d-883a-45eb-a398-647b1f9c88c3,28416f64-e223-40f7-b81b-ac047be1fc89,Laydown - Hồng Đào Trầm Pha Nâu,1.5g,ad4136a7-682c-48dc-87e3-ca4379bea9ad,SKU-EF367A41,100000,69000,41400,NEW,ACTIVE,2026-04-05T14:45:54.710005,2026-04-05T14:45:54.710005
4646cd65-5fc4-4ae6-a37c-1ca8532ee5f1,28416f64-e223-40f7-b81b-ac047be1fc89,Casual Affair - Hoa Hồng Khô,1.5g,08f048c6-b7cd-42b8-9fc8-9dd19f2dd092,SKU-83FC6FBE,100000,69000,41400,NEW,ACTIVE,2026-04-05T14:45:54.710005,2026-04-05T14:45:54.710005
c2ebc714-a243-4bc8-954f-c1ba6e0a4457,9c96aed0-9e8c-41df-a2df-50fae5b8dd93,Màng Như Nhung Childlike - Cam Cháy,4g,c43e39d9-6d8c-4071-9d58-4f949394c1c5,SKU-ED71630E,378000,249000,149400,NEW,ACTIVE,2026-04-05T14:45:54.710005,2026-04-05T14:45:54.710005
fa4e42c6-b0a7-4088-a67d-d26c51119c9d,2da8cb74-2094-4bd0-9f75-704702fb6ee2,,100ml,3c8f7cb0-6324-4067-86ef-d5cec2e69510,SKU-2B64418F,480000,267000,160200,NEW,ACTIVE,2026-04-05T14:45:54.710005,2026-04-05T14:45:54.710005
0cf4c542-4bca-4ebd-9bb3-4fe0b60bd607,2da8cb74-2094-4bd0-9f75-704702fb6ee2,,100ml,b5efbd71-c80b-40e2-a09d-454cc4bab4b4,SKU-AD1AA95B,480000,267000,160200,NEW,ACTIVE,2026-04-05T14:45:54.710005,2026-04-05T14:45:54.710005
2fe72bb0-d0e7-4287-99ca-16099721319f,a5706b21-21cb-480c-bef2-86666ac00b1b,,7g,77f82c98-71e5-4310-ab14-8096d5777e56,SKU-4FF42D77,82000,69000,41400,NEW,ACTIVE,2026-04-05T14:45:54.710005,2026-04-05T14:45:54.710005
d967a055-09e1-4c15-82b3-6a88e73638cb,304f1072-9bda-470e-8d7b-aa7fdb387536,15 Skinny Dip - Hồng Đất,5ml,399fb8a7-8b69-4bd3-9053-628a5bf7bdfd,SKU-7E6699BF,268000,167000,100200,NEW,ACTIVE,2026-04-05T14:45:54.710005,2026-04-05T14:45:54.710005
