id,productId,imageId,order
09686a80-af94-4b3c-9bb4-5fffcd223e30,3127f1fb-7bf8-42a6-80e8-5a6c2a285e0f,a6def130-0312-4947-a2a5-e2e8d802e854,0
b2303ba0-5def-488a-89ae-3421b79d284e,f187a0f4-7a6e-40db-9f67-9e9ebb54cbed,04d118fb-458d-4542-825a-11abb6041cf5,0
1b8846f8-07bb-42d9-bdb5-d6882fca45b5,4b7b5342-d3d9-41ea-8e3a-b929e080e877,11aefb91-e916-44eb-81e4-061c6473f293,0
61ae0447-35e5-44f2-802f-1913aa5de462,28416f64-e223-40f7-b81b-ac047be1fc89,ad4136a7-682c-48dc-87e3-ca4379bea9ad,0
a30178f7-15b9-47ca-8c72-9a030fb3b034,28416f64-e223-40f7-b81b-ac047be1fc89,08f048c6-b7cd-42b8-9fc8-9dd19f2dd092,1
c87a379f-8c27-489f-97b6-13f891265d8a,9c96aed0-9e8c-41df-a2df-50fae5b8dd93,c43e39d9-6d8c-4071-9d58-4f949394c1c5,0
c9cde8b7-ecbe-4a17-9972-300e34b01762,2da8cb74-2094-4bd0-9f75-704702fb6ee2,3c8f7cb0-6324-4067-86ef-d5cec2e69510,0
96459084-b713-4ad4-8da1-311b86da4d95,2da8cb74-2094-4bd0-9f75-704702fb6ee2,b5efbd71-c80b-40e2-a09d-454cc4bab4b4,1
6f7c6174-3dd2-408f-8bcc-ebd55671e0fe,a5706b21-21cb-480c-bef2-86666ac00b1b,77f82c98-71e5-4310-ab14-8096d5777e56,0
b87bcd6b-48a5-4d67-b2e1-08459e46d705,304f1072-9bda-470e-8d7b-aa7fdb387536,399fb8a7-8b69-4bd3-9053-628a5bf7bdfd,0
2c2b40c0-117e-42ae-98e0-5484d20b4b6d,3127f1fb-7bf8-42a6-80e8-5a6c2a285e0f,af4e8332-74b8-43c0-b74f-2406bba1b4b7,1
a0aa55be-06df-4df7-8959-bf234a2a3cf8,d59cc03c-6394-4644-a20b-8238be0da1b1,6e676997-57e3-4a70-8e94-9c4ddea1ba01,0
a1f066ed-01e7-481e-be89-176c2f14cc14,28416f64-e223-40f7-b81b-ac047be1fc89,50946d37-b3d7-4cf4-8937-566f859127ca,2
ae4f8a6f-187b-4c09-baa9-20e1dac33005,21e45d72-5722-413d-9ab4-6245f8bfe06c,627b3bba-c19e-4e42-a5a5-8551568fcd9b,0
ba735007-1f7a-4abe-a996-474b6f004ebe,03f4b840-5e68-4e05-bcc5-4c253665f668,933e5b31-430b-459e-a5a0-18c0da80aea2,0
28bf9689-574f-426e-9053-6334b06ee23e,3127f1fb-7bf8-42a6-80e8-5a6c2a285e0f,4d79bd8e-dc2e-4566-8c48-ad571255c1ec,2
927d320d-cb95-4863-8f44-2b56db78662c,904a2c55-a718-4c9a-951d-f4008bb37a96,60b27a36-7f26-42a2-9e77-d6845f43a74c,0
02fc95ac-c4c9-420f-87f1-eb91a2055d83,25733cd7-5962-43ec-8f26-96e1b31a2887,8f2de674-4e7c-4080-a143-b09db0a30e7a,0
ae4aa284-d71e-46bb-9f11-7d9bb212a329,68a5879d-e7af-479f-8e68-975d32f7117e,7701c7d1-c8fe-490a-b374-b4564d39096e,0
eaf7466b-6c29-4b2e-bb36-773864f65753,7f9468cd-1c3b-4c32-bb79-7e6cbd746a38,9ac1c8fc-c16d-46db-b3b9-f169626ad931,0
70584258-e2e8-42c9-aa6b-3df84b15dc9a,9c96aed0-9e8c-41df-a2df-50fae5b8dd93,34d3ccd0-2610-4532-ab2d-ca33083977c1,1
d72c47af-57dd-4983-85ea-0ed4dc601408,fc913c70-0775-4e45-a884-6fe0a9d44fe9,2cf7672d-3a43-45c3-acb1-3bf6c61bc234,0
a498ad30-f9c9-419a-9290-4e6a3de67f56,904a2c55-a718-4c9a-951d-f4008bb37a96,36b911e0-6978-456c-986c-4bf75a941c65,1
f079f7eb-7894-4098-a07b-3cface5722d1,904a2c55-a718-4c9a-951d-f4008bb37a96,654694ef-6de6-446d-8522-ae37d5c7ff6d,2
38f85394-9256-4172-afe8-13a17d2d775e,c5f6edaa-5320-422e-9bff-e8488ea85d7d,a0f4a946-7e3c-4895-be76-44a7cfa245ca,0
27e4ce33-f571-432d-a992-c51901aba54e,6e6fd604-9fb5-4afc-a1ec-c14a3fc1774a,cd7bc651-575d-4d6f-8273-21622b93fb2a,0
c8133e7f-d42c-410c-819f-4c66abf783c2,3904b825-810c-4032-b3f5-d08cbf602ed2,8e1ac17b-3b03-4b84-82a7-fc0118d5af77,0
24bb27ab-99e4-4326-9a47-51bf5a55f2d4,304f1072-9bda-470e-8d7b-aa7fdb387536,ead02714-44f1-477b-8964-c861f512477b,1
e213dbbf-f5ae-438e-8763-eba40c9f8354,9c96aed0-9e8c-41df-a2df-50fae5b8dd93,21d25df1-532d-4e83-8a61-64c60f9c596a,2
115145d0-59a0-4831-93f0-29b98d85d89e,3b7306ce-66d0-4bf3-9d03-5f375f658c66,1144d12e-8374-4ac2-9dc8-3c6df570f71d,0
fc65d892-895e-491f-bc93-8122adc76073,f388b4c0-f2d7-4bac-88e1-7b5fe0290250,c651d0a2-5241-456b-94b1-88476f53525e,0
7a0e0506-c489-45f4-831e-055191cfe33c,f6ccdd74-561f-436a-8cae-76d770e5d289,9f9e24ff-9423-4817-9454-24e8096d8e38,0
20b4e55f-c064-47ea-88de-1b38ca55763b,998939b5-b950-4c02-9281-c801702a11cc,4e82d01a-77de-4c32-82bc-7bbe735da99e,0
0dc7d2c5-44f0-4623-90ea-fb9144fe27a4,9c96aed0-9e8c-41df-a2df-50fae5b8dd93,0d768565-bcf7-4c63-a777-e015aeedddec,3
04e798cb-14d3-475e-894f-5dace2d57a5a,68a5879d-e7af-479f-8e68-975d32f7117e,10970aeb-d724-4048-b6f0-6ea261b7de82,1
221ac8c2-4db6-4e27-a808-a329e49fb309,5af67708-0927-4eac-a49a-345e3f97b78d,b9ce5316-ec49-47d7-b49a-02e71f0f674f,0
b8761047-ae68-4d28-be0b-1f89cc6ff3d9,8a818425-21f5-4515-ac67-5931cb87dd63,02dd4e28-9c6e-4cdb-9085-dac0235d2d42,0
20244b86-7cad-4e97-9562-548ffa457e2b,7d3e832c-a363-4bfe-9ce0-b5f918b98e7d,ab823870-7e13-4f0e-8e5c-36d75f7431f0,0
